tau,theta,R1,R5,R10,mean_alpha
0.25,0.0,76.57657657657657,85.58558558558559,87.83783783783784,0.4384826719760895
0.25,0.005,76.57657657657657,85.58558558558559,87.83783783783784,0.4384826719760895
0.25,0.01,76.57657657657657,85.58558558558559,87.83783783783784,0.4384826719760895
0.25,0.015,76.57657657657657,85.58558558558559,87.83783783783784,0.4417339563369751
0.25,0.02,76.57657657657657,85.58558558558559,87.83783783783784,0.4497590959072113
0.25,0.025,77.02702702702703,85.58558558558559,87.83783783783784,0.48323360085487366
0.25,0.03,78.37837837837837,86.03603603603604,87.83783783783784,0.5368685126304626
0.25,0.035,78.82882882882883,86.03603603603604,87.83783783783784,0.6050111055374146
0.25,0.04,78.82882882882883,86.03603603603604,87.83783783783784,0.7176085710525513
0.25,0.045,79.27927927927928,86.48648648648648,87.83783783783784,0.7950395345687866
0.25,0.05,79.27927927927928,86.48648648648648,87.83783783783784,0.862278401851654
0.25,0.055,80.18018018018019,86.48648648648648,87.83783783783784,0.9172309637069702
0.25,0.06,79.27927927927928,86.48648648648648,87.83783783783784,0.9569131731987
0.25,0.065,79.27927927927928,86.48648648648648,87.83783783783784,0.9790334701538086
0.25,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9865920543670654
0.25,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.9923849105834961
0.25,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9953728914260864
0.25,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9998587369918823
0.25,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9998587369918823
0.25,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.999871015548706
0.25,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.999871015548706
0.25,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.999871015548706
0.25,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.999871015548706
0.25,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
0.25,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
0.5,0.0,78.37837837837837,85.58558558558559,87.83783783783784,0.4663536250591278
0.5,0.005,78.37837837837837,85.58558558558559,87.83783783783784,0.4663536250591278
0.5,0.01,78.37837837837837,85.58558558558559,87.83783783783784,0.4663536250591278
0.5,0.015,78.37837837837837,85.58558558558559,87.83783783783784,0.4691327214241028
0.5,0.02,78.37837837837837,85.58558558558559,87.83783783783784,0.4759782552719116
0.5,0.025,78.82882882882883,85.58558558558559,87.83783783783784,0.5053645372390747
0.5,0.03,79.72972972972973,86.03603603603604,87.83783783783784,0.5535094738006592
0.5,0.035,80.18018018018019,86.03603603603604,87.83783783783784,0.620609700679779
0.5,0.04,80.18018018018019,86.03603603603604,87.83783783783784,0.7227762341499329
0.5,0.045,80.63063063063063,86.48648648648648,87.83783783783784,0.7962421178817749
0.5,0.05,80.63063063063063,86.48648648648648,87.83783783783784,0.8638014793395996
0.5,0.055,80.63063063063063,86.48648648648648,87.83783783783784,0.9157359004020691
0.5,0.06,79.72972972972973,86.48648648648648,87.83783783783784,0.953647255897522
0.5,0.065,79.72972972972973,86.48648648648648,87.83783783783784,0.9779921770095825
0.5,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9862455129623413
0.5,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.9919405579566956
0.5,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9946140646934509
0.5,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9991081357002258
0.5,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9991081357002258
0.5,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.9993315935134888
0.5,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.9993398785591125
0.5,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.9993398785591125
0.5,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.9993398785591125
0.5,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
0.5,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
0.75,0.0,78.37837837837837,86.03603603603604,87.83783783783784,0.4823068380355835
0.75,0.005,78.37837837837837,86.03603603603604,87.83783783783784,0.4823068380355835
0.75,0.01,78.37837837837837,86.03603603603604,87.83783783783784,0.4823068380355835
0.75,0.015,78.37837837837837,86.03603603603604,87.83783783783784,0.48491400480270386
0.75,0.02,78.37837837837837,86.03603603603604,87.83783783783784,0.4911056160926819
0.75,0.025,78.82882882882883,86.03603603603604,87.83783783783784,0.5180057287216187
0.75,0.03,79.72972972972973,86.03603603603604,87.83783783783784,0.5630004405975342
0.75,0.035,80.18018018018019,86.03603603603604,87.83783783783784,0.6288872957229614
0.75,0.04,80.18018018018019,86.03603603603604,87.83783783783784,0.7243689298629761
0.75,0.045,80.63063063063063,86.48648648648648,87.83783783783784,0.7952461838722229
0.75,0.05,80.63063063063063,86.48648648648648,87.83783783783784,0.8623581528663635
0.75,0.055,80.63063063063063,86.48648648648648,87.83783783783784,0.9134829640388489
0.75,0.06,79.72972972972973,86.48648648648648,87.83783783783784,0.949952244758606
0.75,0.065,79.72972972972973,86.48648648648648,87.83783783783784,0.9764508605003357
0.75,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9850900769233704
0.75,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.9911187887191772
0.75,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9938204884529114
0.75,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9983178377151489
0.75,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9983178377151489
0.75,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.9988698363304138
0.75,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.9989368915557861
0.75,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.9989368915557861
0.75,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.9989368915557861
0.75,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
0.75,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
1.0,0.0,79.27927927927928,86.03603603603604,87.83783783783784,0.49013763666152954
1.0,0.005,79.27927927927928,86.03603603603604,87.83783783783784,0.49013763666152954
1.0,0.01,79.27927927927928,86.03603603603604,87.83783783783784,0.49013763666152954
1.0,0.015,79.27927927927928,86.03603603603604,87.83783783783784,0.49265700578689575
1.0,0.02,79.27927927927928,86.03603603603604,87.83783783783784,0.49846595525741577
1.0,0.025,79.27927927927928,86.03603603603604,87.83783783783784,0.5238742232322693
1.0,0.03,80.18018018018019,86.03603603603604,87.83783783783784,0.5671221613883972
1.0,0.035,80.63063063063063,86.03603603603604,87.83783783783784,0.6322261095046997
1.0,0.04,80.63063063063063,86.03603603603604,87.83783783783784,0.7235716581344604
1.0,0.045,81.08108108108108,86.48648648648648,87.83783783783784,0.7931029796600342
1.0,0.05,80.63063063063063,86.48648648648648,87.83783783783784,0.8598229885101318
1.0,0.055,80.63063063063063,86.48648648648648,87.83783783783784,0.9111073017120361
1.0,0.06,79.72972972972973,86.48648648648648,87.83783783783784,0.9467531442642212
1.0,0.065,79.72972972972973,86.48648648648648,87.83783783783784,0.9749288558959961
1.0,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9839021563529968
1.0,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.9903106689453125
1.0,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9931573271751404
1.0,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9976564049720764
1.0,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9976564049720764
1.0,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.998494029045105
1.0,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.9986802935600281
1.0,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.9986802935600281
1.0,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.9986802935600281
1.0,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
1.0,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
1.5,0.0,78.37837837837837,86.03603603603604,87.83783783783784,0.49625784158706665
1.5,0.005,78.37837837837837,86.03603603603604,87.83783783783784,0.49625784158706665
1.5,0.01,78.37837837837837,86.03603603603604,87.83783783783784,0.49625784158706665
1.5,0.015,78.37837837837837,86.03603603603604,87.83783783783784,0.49868863821029663
1.5,0.02,78.37837837837837,86.03603603603604,87.83783783783784,0.504082977771759
1.5,0.025,78.37837837837837,86.03603603603604,87.83783783783784,0.5278604626655579
1.5,0.03,79.27927927927928,86.03603603603604,87.83783783783784,0.569364070892334
1.5,0.035,79.72972972972973,86.03603603603604,87.83783783783784,0.6336655020713806
1.5,0.04,80.18018018018019,86.03603603603604,87.83783783783784,0.720396101474762
1.5,0.045,80.63063063063063,86.48648648648648,87.83783783783784,0.788826048374176
1.5,0.05,80.18018018018019,86.48648648648648,87.83783783783784,0.8550829291343689
1.5,0.055,80.63063063063063,86.48648648648648,87.83783783783784,0.9072439074516296
1.5,0.06,79.72972972972973,86.48648648648648,87.83783783783784,0.9421212077140808
1.5,0.065,79.72972972972973,86.48648648648648,87.83783783783784,0.9724825024604797
1.5,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9819798469543457
1.5,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.9889999032020569
1.5,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9921711683273315
1.5,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9966720938682556
1.5,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9966720938682556
1.5,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.9978974461555481
1.5,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.998390793800354
1.5,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.998390793800354
1.5,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.998390793800354
1.5,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
1.5,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
2.0,0.0,78.82882882882883,86.03603603603604,87.83783783783784,0.4982530176639557
2.0,0.005,78.82882882882883,86.03603603603604,87.83783783783784,0.4982530176639557
2.0,0.01,78.82882882882883,86.03603603603604,87.83783783783784,0.4982530176639557
2.0,0.015,78.82882882882883,86.03603603603604,87.83783783783784,0.5006392598152161
2.0,0.02,78.82882882882883,86.03603603603604,87.83783783783784,0.5058166980743408
2.0,0.025,78.82882882882883,86.03603603603604,87.83783783783784,0.5287390947341919
2.0,0.03,79.72972972972973,86.03603603603604,87.83783783783784,0.5694010853767395
2.0,0.035,80.18018018018019,86.03603603603604,87.83783783783784,0.6333348751068115
2.0,0.04,80.63063063063063,86.03603603603604,87.83783783783784,0.7176121473312378
2.0,0.045,81.08108108108108,86.48648648648648,87.83783783783784,0.7856581211090088
2.0,0.05,80.63063063063063,86.48648648648648,87.83783783783784,0.8516747951507568
2.0,0.055,81.08108108108108,86.48648648648648,87.83783783783784,0.904602587223053
2.0,0.06,79.72972972972973,86.48648648648648,87.83783783783784,0.9391493201255798
2.0,0.065,79.72972972972973,86.48648648648648,87.83783783783784,0.9707949757575989
2.0,0.07,79.27927927927928,86.48648648648648,87.83783783783784,0.9806486964225769
2.0,0.075,79.27927927927928,86.48648648648648,87.83783783783784,0.9880790114402771
2.0,0.08,79.27927927927928,86.48648648648648,87.83783783783784,0.9915028214454651
2.0,0.085,79.27927927927928,86.48648648648648,87.83783783783784,0.9960047006607056
2.0,0.09,79.27927927927928,86.48648648648648,87.83783783783784,0.9960047006607056
2.0,0.095,79.27927927927928,86.48648648648648,87.83783783783784,0.9974613785743713
2.0,0.1,79.27927927927928,86.48648648648648,87.83783783783784,0.9982359409332275
2.0,0.105,79.27927927927928,86.48648648648648,87.83783783783784,0.9982359409332275
2.0,0.11,79.27927927927928,86.48648648648648,87.83783783783784,0.9982359409332275
2.0,0.115,79.27927927927928,86.48648648648648,87.83783783783784,1.0
2.0,0.12,79.27927927927928,86.48648648648648,87.83783783783784,1.0
3.0,0.0,79.72972972972973,86.48648648648648,87.83783783783784,0.49943989515304565
3.0,0.005,79.72972972972973,86.48648648648648,87.83783783783784,0.49943989515304565
3.0,0.01,79.72972972972973,86.48648648648648,87.83783783783784,0.49943989515304565
3.0,0.015,79.72972972972973,86.48648648648648,87.83783783783784,0.5017815828323364
3.0,0.02,79.72972972972973,86.48648648648648,87.83783783783784,0.506737470626831
3.0,0.025,79.72972972972973,86.48648648648648,87.83783783783784,0.5287860631942749
3.0,0.03,80.18018018018019,86.48648648648648,87.83783783783784,0.5686347484588623
