rho,Mc,R1,R5,R10,mean_alpha
1.0,10,78.37837837837837,86.03603603603604,87.83783783783784,0.4999721050262451
1.0,20,78.37837837837837,86.03603603603604,89.1891891891892,0.4999721050262451
1.0,50,79.27927927927928,86.03603603603604,90.09009009009009,0.4999721050262451
1.0,100,79.27927927927928,85.58558558558559,89.63963963963964,0.4999721050262451
1.5,10,79.72972972972973,86.48648648648648,87.83783783783784,0.5849558711051941
1.5,20,79.72972972972973,85.58558558558559,89.63963963963964,0.5849558711051941
1.5,50,80.63063063063063,86.48648648648648,90.990990990991,0.5849558711051941
1.5,100,80.63063063063063,86.03603603603604,90.54054054054053,0.5849558711051941
2.0,10,79.72972972972973,86.93693693693693,87.83783783783784,0.6428183913230896
2.0,20,79.72972972972973,86.03603603603604,89.1891891891892,0.6428183913230896
2.0,50,80.18018018018019,86.93693693693693,90.54054054054053,0.6428183913230896
2.0,100,80.18018018018019,86.93693693693693,90.54054054054053,0.6428183913230896
3.0,10,79.72972972972973,86.93693693693693,87.83783783783784,0.7180484533309937
3.0,20,79.72972972972973,86.03603603603604,89.63963963963964,0.7180484533309937
3.0,50,80.18018018018019,86.48648648648648,90.54054054054053,0.7180484533309937
3.0,100,80.18018018018019,86.48648648648648,90.54054054054053,0.7180484533309937
4.0,10,80.18018018018019,86.93693693693693,87.83783783783784,0.7656291127204895
4.0,20,80.18018018018019,86.48648648648648,89.1891891891892,0.7656291127204895
4.0,50,80.63063063063063,86.48648648648648,90.54054054054053,0.7656291127204895
4.0,100,80.63063063063063,86.48648648648648,90.54054054054053,0.7656291127204895
6.0,10,80.18018018018019,86.48648648648648,87.83783783783784,0.8234003186225891
6.0,20,80.18018018018019,86.48648648648648,88.28828828828829,0.8234003186225891
6.0,50,80.18018018018019,86.93693693693693,89.1891891891892,0.8234003186225891
6.0,100,80.18018018018019,86.93693693693693,89.63963963963964,0.8234003186225891
8.0,10,80.63063063063063,86.48648648648648,87.83783783783784,0.8576521277427673
8.0,20,80.63063063063063,86.48648648648648,88.28828828828829,0.8576521277427673
8.0,50,80.63063063063063,86.93693693693693,88.73873873873875,0.8576521277427673
8.0,100,80.63063063063063,86.93693693693693,88.73873873873875,0.8576521277427673
10.0,10,79.72972972972973,86.03603603603604,87.83783783783784,0.8805045485496521
10.0,20,79.72972972972973,86.03603603603604,87.83783783783784,0.8805045485496521
10.0,50,79.72972972972973,86.03603603603604,88.28828828828829,0.8805045485496521
10.0,100,79.72972972972973,86.03603603603604,88.28828828828829,0.8805045485496521
12.0,10,79.72972972972973,86.48648648648648,87.83783783783784,0.8969054222106934
12.0,20,79.72972972972973,86.48648648648648,87.83783783783784,0.8969054222106934
12.0,50,79.72972972972973,86.48648648648648,87.83783783783784,0.8969054222106934
12.0,100,79.72972972972973,86.48648648648648,87.83783783783784,0.8969054222106934
16.0,10,79.27927927927928,86.48648648648648,87.83783783783784,0.918961763381958
16.0,20,79.27927927927928,86.48648648648648,87.83783783783784,0.918961763381958
16.0,50,79.27927927927928,86.48648648648648,87.83783783783784,0.918961763381958
16.0,100,79.27927927927928,86.48648648648648,87.83783783783784,0.918961763381958
20.0,10,79.27927927927928,86.48648648648648,87.83783783783784,0.9331619739532471
20.0,20,79.27927927927928,86.48648648648648,87.83783783783784,0.9331619739532471
20.0,50,79.27927927927928,86.48648648648648,87.83783783783784,0.9331619739532471
20.0,100,79.27927927927928,86.48648648648648,87.83783783783784,0.9331619739532471
30.0,10,80.18018018018019,86.48648648648648,87.83783783783784,0.9534358382225037
30.0,20,80.18018018018019,86.48648648648648,87.83783783783784,0.9534358382225037
30.0,50,80.18018018018019,86.48648648648648,87.83783783783784,0.9534358382225037
30.0,100,80.18018018018019,86.48648648648648,87.83783783783784,0.9534358382225037
