alpha,R1,R5,R10
0.0,70.27027027027027,89.1891891891892,92.34234234234235
0.01,70.27027027027027,89.1891891891892,92.34234234234235
0.02,70.72072072072072,89.1891891891892,92.34234234234235
0.03,71.62162162162163,89.1891891891892,92.34234234234235
0.04,72.07207207207207,89.1891891891892,92.34234234234235
0.05,72.97297297297297,89.1891891891892,92.34234234234235
0.06,74.77477477477478,89.1891891891892,92.34234234234235
0.07,74.77477477477478,89.1891891891892,92.34234234234235
0.08,74.77477477477478,89.1891891891892,92.34234234234235
0.09,75.67567567567568,89.1891891891892,92.34234234234235
0.1,77.02702702702703,89.63963963963964,92.34234234234235
0.11,77.47747747747748,89.63963963963964,92.34234234234235
0.12,77.92792792792793,89.63963963963964,92.34234234234235
0.13,78.37837837837837,89.63963963963964,92.34234234234235
0.14,78.37837837837837,89.63963963963964,92.34234234234235
0.15,79.27927927927928,89.63963963963964,92.34234234234235
0.16,79.72972972972973,89.63963963963964,92.34234234234235
0.17,79.72972972972973,89.63963963963964,92.34234234234235
0.18,79.72972972972973,89.63963963963964,92.34234234234235
0.19,79.72972972972973,89.63963963963964,92.34234234234235
0.2,79.72972972972973,89.63963963963964,92.34234234234235
0.21,79.72972972972973,89.63963963963964,92.34234234234235
0.22,79.72972972972973,90.09009009009009,92.34234234234235
0.23,80.18018018018019,90.09009009009009,92.34234234234235
0.24,80.18018018018019,90.09009009009009,92.34234234234235
0.25,81.08108108108108,90.09009009009009,92.34234234234235
0.26,81.08108108108108,90.09009009009009,92.34234234234235
0.27,81.53153153153153,90.09009009009009,92.34234234234235
0.28,81.98198198198197,90.09009009009009,92.34234234234235
0.29,81.98198198198197,90.09009009009009,92.34234234234235
0.3,81.98198198198197,90.09009009009009,92.34234234234235
0.31,81.98198198198197,90.09009009009009,92.34234234234235
0.32,81.98198198198197,90.09009009009009,92.34234234234235
0.33,81.98198198198197,90.09009009009009,92.34234234234235
0.34,81.98198198198197,90.09009009009009,92.34234234234235
0.35,82.43243243243244,90.09009009009009,92.34234234234235
0.36,82.43243243243244,90.09009009009009,92.34234234234235
0.37,82.43243243243244,90.09009009009009,92.34234234234235
0.38,82.88288288288288,90.09009009009009,92.34234234234235
0.39,83.33333333333334,90.09009009009009,92.34234234234235
0.4,83.33333333333334,90.09009009009009,92.34234234234235
0.41,83.33333333333334,90.09009009009009,92.34234234234235
0.42,83.33333333333334,90.09009009009009,92.34234234234235
0.43,83.33333333333334,90.09009009009009,92.34234234234235
0.44,83.33333333333334,90.09009009009009,92.34234234234235
0.45,83.33333333333334,90.09009009009009,92.34234234234235
0.46,83.33333333333334,90.54054054054053,92.34234234234235
0.47,83.33333333333334,90.54054054054053,92.34234234234235
0.48,83.33333333333334,90.54054054054053,92.34234234234235
0.49,84.23423423423422,90.990990990991,92.34234234234235
0.5,84.23423423423422,90.990990990991,92.34234234234235
0.51,84.23423423423422,91.44144144144144,92.34234234234235
0.52,85.13513513513513,91.44144144144144,92.34234234234235
0.53,85.13513513513513,91.44144144144144,92.34234234234235
0.54,85.58558558558559,91.44144144144144,92.34234234234235
0.55,85.58558558558559,91.44144144144144,92.34234234234235
0.56,85.58558558558559,91.44144144144144,92.34234234234235
0.57,85.58558558558559,91.8918918918919,92.34234234234235
0.58,85.58558558558559,91.8918918918919,92.34234234234235
0.59,85.13513513513513,91.8918918918919,92.34234234234235
0.6,85.13513513513513,91.44144144144144,92.34234234234235
0.61,85.13513513513513,91.44144144144144,92.34234234234235
0.62,85.13513513513513,91.44144144144144,92.34234234234235
0.63,85.13513513513513,91.44144144144144,92.34234234234235
0.64,85.13513513513513,91.44144144144144,92.34234234234235
0.65,85.13513513513513,91.44144144144144,92.34234234234235
0.66,85.13513513513513,91.44144144144144,92.34234234234235
0.67,85.13513513513513,91.44144144144144,92.34234234234235
0.68,85.13513513513513,91.44144144144144,92.34234234234235
0.69,85.58558558558559,91.44144144144144,92.34234234234235
0.7,85.58558558558559,91.44144144144144,92.34234234234235
0.71,85.58558558558559,91.44144144144144,92.34234234234235
0.72,85.58558558558559,91.44144144144144,92.34234234234235
0.73,85.58558558558559,91.44144144144144,92.34234234234235
0.74,85.13513513513513,91.44144144144144,92.34234234234235
0.75,85.58558558558559,91.44144144144144,92.34234234234235
0.76,85.58558558558559,91.44144144144144,92.34234234234235
0.77,85.58558558558559,91.8918918918919,92.34234234234235
0.78,85.58558558558559,91.8918918918919,92.34234234234235
0.79,85.58558558558559,91.8918918918919,92.34234234234235
0.8,85.58558558558559,91.8918918918919,92.34234234234235
0.81,85.58558558558559,91.8918918918919,92.34234234234235
0.82,85.58558558558559,91.8918918918919,92.34234234234235
0.83,85.58558558558559,91.8918918918919,92.34234234234235
0.84,85.58558558558559,91.8918918918919,92.34234234234235
0.85,85.13513513513513,91.8918918918919,92.34234234234235
0.86,84.68468468468468,91.8918918918919,92.34234234234235
0.87,85.13513513513513,91.8918918918919,92.34234234234235
0.88,85.13513513513513,91.8918918918919,92.34234234234235
0.89,85.13513513513513,91.8918918918919,92.34234234234235
0.9,85.13513513513513,91.8918918918919,92.34234234234235
0.91,85.13513513513513,91.8918918918919,92.34234234234235
0.92,85.13513513513513,91.8918918918919,92.34234234234235
0.93,85.13513513513513,91.8918918918919,92.34234234234235
0.94,85.13513513513513,91.8918918918919,92.34234234234235
0.95,85.13513513513513,91.8918918918919,92.34234234234235
0.96,85.13513513513513,91.8918918918919,92.34234234234235
0.97,85.13513513513513,91.8918918918919,92.34234234234235
0.98,85.13513513513513,91.8918918918919,92.34234234234235
0.99,85.13513513513513,91.8918918918919,92.34234234234235
1.0,85.13513513513513,91.8918918918919,92.34234234234235
