alpha,R1,R5,R10
0.0,63.51351351351351,84.68468468468468,87.83783783783784
0.01,63.51351351351351,84.68468468468468,87.83783783783784
0.02,64.41441441441441,84.68468468468468,87.83783783783784
0.03,65.76576576576578,84.68468468468468,87.83783783783784
0.04,66.21621621621621,84.68468468468468,87.83783783783784
0.05,66.66666666666666,84.68468468468468,87.83783783783784
0.06,67.56756756756756,84.23423423423422,87.83783783783784
0.07,67.56756756756756,84.23423423423422,87.83783783783784
0.08,68.91891891891892,84.23423423423422,87.83783783783784
0.09,69.81981981981981,84.23423423423422,87.83783783783784
0.1,71.17117117117117,84.23423423423422,87.83783783783784
0.11,71.62162162162163,84.23423423423422,87.83783783783784
0.12,72.52252252252252,84.23423423423422,87.83783783783784
0.13,72.97297297297297,84.23423423423422,87.83783783783784
0.14,72.52252252252252,84.23423423423422,87.83783783783784
0.15,72.97297297297297,84.68468468468468,87.83783783783784
0.16,73.42342342342343,85.13513513513513,87.83783783783784
0.17,73.42342342342343,85.13513513513513,87.83783783783784
0.18,73.42342342342343,85.13513513513513,87.83783783783784
0.19,73.42342342342343,85.58558558558559,87.83783783783784
0.2,73.87387387387388,85.58558558558559,87.83783783783784
0.21,74.77477477477478,85.58558558558559,87.83783783783784
0.22,74.77477477477478,85.58558558558559,87.83783783783784
0.23,74.77477477477478,85.58558558558559,87.83783783783784
0.24,74.77477477477478,85.58558558558559,87.83783783783784
0.25,74.77477477477478,86.03603603603604,87.83783783783784
0.26,74.32432432432432,86.03603603603604,87.83783783783784
0.27,75.22522522522522,86.03603603603604,87.83783783783784
0.28,76.12612612612612,86.03603603603604,87.83783783783784
0.29,76.12612612612612,86.03603603603604,87.83783783783784
0.3,76.12612612612612,86.03603603603604,87.83783783783784
0.31,76.12612612612612,86.03603603603604,87.83783783783784
0.32,76.12612612612612,86.03603603603604,87.83783783783784
0.33,77.47747747747748,86.03603603603604,87.83783783783784
0.34,77.47747747747748,86.03603603603604,87.83783783783784
0.35,77.47747747747748,86.03603603603604,87.83783783783784
0.36,77.47747747747748,86.03603603603604,87.83783783783784
0.37,77.47747747747748,86.48648648648648,87.83783783783784
0.38,77.92792792792793,86.48648648648648,87.83783783783784
0.39,77.92792792792793,86.48648648648648,87.83783783783784
0.4,77.92792792792793,86.48648648648648,87.83783783783784
0.41,77.92792792792793,86.48648648648648,87.83783783783784
0.42,78.82882882882883,86.48648648648648,87.83783783783784
0.43,78.82882882882883,86.48648648648648,87.83783783783784
0.44,78.82882882882883,86.48648648648648,87.83783783783784
0.45,79.27927927927928,86.48648648648648,87.83783783783784
0.46,79.27927927927928,86.48648648648648,87.83783783783784
0.47,79.72972972972973,86.48648648648648,87.83783783783784
0.48,80.18018018018019,86.48648648648648,87.83783783783784
0.49,80.18018018018019,86.48648648648648,87.83783783783784
0.5,80.18018018018019,86.93693693693693,87.83783783783784
0.51,80.18018018018019,86.93693693693693,87.83783783783784
0.52,80.18018018018019,86.93693693693693,87.83783783783784
0.53,80.18018018018019,86.93693693693693,87.83783783783784
0.54,80.18018018018019,86.93693693693693,87.83783783783784
0.55,80.18018018018019,86.93693693693693,87.83783783783784
0.56,80.18018018018019,86.93693693693693,87.83783783783784
0.57,80.18018018018019,86.93693693693693,87.83783783783784
0.58,80.18018018018019,86.93693693693693,87.83783783783784
0.59,80.63063063063063,86.93693693693693,87.83783783783784
0.6,80.63063063063063,86.93693693693693,87.83783783783784
0.61,80.63063063063063,86.93693693693693,87.83783783783784
0.62,80.63063063063063,86.93693693693693,87.83783783783784
0.63,80.63063063063063,86.93693693693693,87.83783783783784
0.64,80.18018018018019,86.93693693693693,87.83783783783784
0.65,80.18018018018019,86.93693693693693,87.83783783783784
0.66,80.18018018018019,86.93693693693693,87.83783783783784
0.67,80.18018018018019,86.93693693693693,87.83783783783784
0.68,80.18018018018019,86.93693693693693,87.83783783783784
0.69,80.18018018018019,86.93693693693693,87.83783783783784
0.7,80.18018018018019,86.93693693693693,87.83783783783784
0.71,80.18018018018019,86.93693693693693,87.83783783783784
0.72,80.18018018018019,86.93693693693693,87.83783783783784
0.73,80.18018018018019,86.48648648648648,87.83783783783784
0.74,79.72972972972973,86.48648648648648,87.83783783783784
0.75,79.72972972972973,86.03603603603604,87.83783783783784
0.76,78.82882882882883,86.03603603603604,87.83783783783784
0.77,78.82882882882883,86.03603603603604,87.83783783783784
0.78,78.82882882882883,86.03603603603604,87.83783783783784
0.79,78.37837837837837,86.03603603603604,87.83783783783784
0.8,78.37837837837837,86.03603603603604,87.83783783783784
0.81,78.82882882882883,86.03603603603604,87.83783783783784
0.82,78.82882882882883,86.48648648648648,87.83783783783784
0.83,78.82882882882883,86.48648648648648,87.83783783783784
0.84,79.27927927927928,86.48648648648648,87.83783783783784
0.85,79.72972972972973,86.48648648648648,87.83783783783784
0.86,79.72972972972973,86.48648648648648,87.83783783783784
0.87,79.72972972972973,86.48648648648648,87.83783783783784
0.88,79.72972972972973,86.48648648648648,87.83783783783784
0.89,79.72972972972973,86.48648648648648,87.83783783783784
0.9,79.72972972972973,86.48648648648648,87.83783783783784
0.91,79.72972972972973,86.48648648648648,87.83783783783784
0.92,79.72972972972973,86.48648648648648,87.83783783783784
0.93,80.18018018018019,86.48648648648648,87.83783783783784
0.94,80.18018018018019,86.48648648648648,87.83783783783784
0.95,79.27927927927928,86.48648648648648,87.83783783783784
0.96,79.27927927927928,86.48648648648648,87.83783783783784
0.97,79.27927927927928,86.48648648648648,87.83783783783784
0.98,79.27927927927928,86.48648648648648,87.83783783783784
0.99,79.27927927927928,86.48648648648648,87.83783783783784
1.0,79.27927927927928,86.48648648648648,87.83783783783784
