tau,theta,R1,R5,R10,active_rate,mean_alpha
0.25,0.0,80.18018018018019,89.1891891891892,92.34234234234235,1.0,0.4706292748451233
0.25,0.005,80.18018018018019,89.1891891891892,92.34234234234235,1.0,0.4706292748451233
0.25,0.01,80.18018018018019,89.1891891891892,92.34234234234235,1.0,0.4706292748451233
0.25,0.015,80.18018018018019,89.1891891891892,92.34234234234235,0.9954954954954955,0.4735742211341858
0.25,0.02,80.18018018018019,89.1891891891892,92.34234234234235,0.963963963963964,0.49641165137290955
0.25,0.025,81.08108108108108,89.63963963963964,92.34234234234235,0.8783783783783784,0.5499716401100159
0.25,0.03,81.53153153153153,90.09009009009009,92.34234234234235,0.7837837837837838,0.5973278284072876
0.25,0.035,82.43243243243244,90.990990990991,92.34234234234235,0.6441441441441441,0.6828335523605347
0.25,0.04,83.78378378378379,90.990990990991,92.34234234234235,0.5180180180180181,0.7732053995132446
0.25,0.045,83.78378378378379,90.990990990991,92.34234234234235,0.3963963963963964,0.8404196500778198
0.25,0.05,83.78378378378379,90.990990990991,92.34234234234235,0.27927927927927926,0.8965468406677246
0.25,0.055,85.13513513513513,91.8918918918919,92.34234234234235,0.1891891891891892,0.9396033883094788
0.25,0.06,85.13513513513513,91.8918918918919,92.34234234234235,0.13513513513513514,0.9636414051055908
0.25,0.065,85.13513513513513,91.8918918918919,92.34234234234235,0.0945945945945946,0.9733318090438843
0.25,0.07,85.58558558558559,91.8918918918919,92.34234234234235,0.05855855855855856,0.9820046424865723
0.25,0.075,85.58558558558559,91.8918918918919,92.34234234234235,0.036036036036036036,0.989673376083374
0.25,0.08,85.58558558558559,91.8918918918919,92.34234234234235,0.02252252252252252,0.9911850690841675
0.25,0.085,85.58558558558559,91.8918918918919,92.34234234234235,0.013513513513513514,0.9956746697425842
0.25,0.09,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9999769330024719
0.25,0.095,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9999769330024719
0.25,0.1,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9999769330024719
0.25,0.105,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9999769330024719
0.25,0.11,85.13513513513513,91.8918918918919,92.34234234234235,0.0045045045045045045,0.9999769330024719
0.25,0.115,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
0.25,0.12,85.13513513513513,91.8918918918919,92.34234234234235,0.0,1.0
0.5,0.0,81.53153153153153,89.63963963963964,92.34234234234235,1.0,0.4834449589252472
0.5,0.005,81.53153153153153,89.63963963963964,92.34234234234235,1.0,0.4834449589252472
0.5,0.01,81.53153153153153,89.63963963963964,92.34234234234235,1.0,0.4834449589252472
0.5,0.015,81.53153153153153,89.63963963963964,92.34234234234235,0.9954954954954955,0.48605215549468994
0.5,0.02,81.53153153153153,89.63963963963964,92.34234234234235,0.963963963963964,0.5078623294830322
0.5,0.025,82.43243243243244,89.63963963963964,92.34234234234235,0.8783783783783784,0.5602139234542847
0.5,0.03,82.43243243243244,90.09009009009009,92.34234234234235,0.7837837837837838,0.6069043278694153
0.5,0.035,82.88288288288288,90.990990990991,92.34234234234235,0.6441441441441441,0.687142014503479
0.5,0.04,84.23423423423422,90.990990990991,92.34234234234235,0.5180180180180181,0.7697011828422546
0.5,0.045,83.78378378378379,90.990990990991,92.34234234234235,0.3963963963963964,0.834929347038269
0.5,0.05,83.78378378378379,90.990990990991,92.34234234234235,0.27927927927927926,0.8913119435310364
0.5,0.055,85.13513513513513,91.8918918918919,92.34234234234235,0.1891891891891892,0.9344815611839294
0.5,0.06,85.13513513513513,91.8918918918919,92.34234234234235,0.13513513513513514,0.9579976201057434
