backbone,dataset,AUROC,AUROC_CI_low,AUROC_CI_high,conditional_n,LU_OR_per_SD,OR_CI_low,OR_CI_high,OR_p
EigenPlaces,AmsterTime,0.642,0.602,0.676,864,1.722554545972053,1.4696350186345253,2.0190007221016546,1.918299537895392e-11
EigenPlaces,MSLS held-out,0.565494,0.513196,0.617625,433,2.1285085623878857,1.5907200912626505,2.848111823722786,3.698244845187658e-07
EigenPlaces,Nordland-aligned,0.541,0.485,0.598,350,1.1606839959242317,0.9021882891098209,1.4932440984396915,0.2463704449220031
CosPlace,AmsterTime,0.662419,0.624162,0.697888,749,1.8849697967511048,1.5551873278430262,2.2846836976172544,1.0440019426535745e-10
CosPlace,MSLS held-out,0.565706,0.515571,0.618152,412,1.985269503627776,1.4355407560750142,2.745512438678907,3.389396888367751e-05
CosPlace,Nordland-aligned,0.396496,0.34009,0.455708,348,0.9281380222565812,0.7110329987872459,1.2115333463111415,0.5833234354571544
