dataset,method,n_queries,R1,R5,R10,mean_alpha
amstertime,SU-only,1231,35.25588952071487,54.18359057676686,60.84484159220146,0.8772150874137878
amstertime,Full PWF,1231,35.580828594638504,54.752233956133225,60.84484159220146,0.8551746606826782
msls,SU-only,518,80.11583011583011,85.13513513513513,86.2934362934363,0.8772871494293213
msls,Full PWF,518,80.5019305019305,85.13513513513513,86.2934362934363,0.8578324913978577
nordland,SU-only,400,56.25,82.5,89.5,0.8777995109558105
nordland,Full PWF,400,55.75,81.0,89.5,0.851858377456665
