backbone,dataset,alpha,R1,R5,R10
EigenPlaces,amstertime,0.77,44.35418359057677,64.74411047928513,70.18683996750609
EigenPlaces,amstertime,0.78,44.51665312753859,64.66287571080423,70.18683996750609
EigenPlaces,amstertime,0.79,44.59788789601949,64.58164094232332,70.18683996750609
EigenPlaces,amstertime,0.8,44.43541835905768,64.58164094232332,70.18683996750609
EigenPlaces,amstertime,0.81,44.35418359057677,64.66287571080423,70.18683996750609
EigenPlaces,amstertime,0.82,44.35418359057677,64.66287571080423,70.18683996750609
EigenPlaces,amstertime,0.83,44.272948822095856,64.66287571080423,70.18683996750609
EigenPlaces,amstertime,0.84,44.272948822095856,64.58164094232332,70.18683996750609
EigenPlaces,amstertime,0.85,44.272948822095856,64.66287571080423,70.18683996750609
EigenPlaces,amstertime,0.86,44.35418359057677,64.82534524776604,70.18683996750609
EigenPlaces,amstertime,0.87,44.35418359057677,64.82534524776604,70.18683996750609
EigenPlaces,amstertime,0.88,44.272948822095856,64.4191714053615,70.18683996750609
EigenPlaces,amstertime,0.89,44.35418359057677,64.5004061738424,70.18683996750609
EigenPlaces,amstertime,0.9,44.272948822095856,64.33793663688058,70.18683996750609
EigenPlaces,amstertime,0.91,44.191714053614945,64.33793663688058,70.18683996750609
EigenPlaces,amstertime,0.92,44.11047928513403,64.01299756295694,70.18683996750609
EigenPlaces,amstertime,0.93,44.11047928513403,64.01299756295694,70.18683996750609
EigenPlaces,amstertime,0.94,44.11047928513403,63.93176279447603,70.18683996750609
EigenPlaces,amstertime,0.95,44.191714053614945,64.01299756295694,70.18683996750609
EigenPlaces,amstertime,0.96,44.02924451665313,63.93176279447603,70.18683996750609
EigenPlaces,amstertime,0.97,44.11047928513403,63.6880584890333,70.18683996750609
EigenPlaces,amstertime,0.98,43.7855402112104,63.444354183590576,70.18683996750609
EigenPlaces,amstertime,0.99,43.70430544272949,63.52558895207149,70.18683996750609
EigenPlaces,amstertime,1.0,43.37936636880585,63.444354183590576,70.18683996750609
EigenPlaces,msls,0.0,70.84942084942085,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.01,72.39382239382239,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.02,72.77992277992279,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.03,73.55212355212355,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.04,74.7104247104247,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.05,75.2895752895753,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.06,75.67567567567568,91.11969111969111,93.05019305019306
EigenPlaces,msls,0.07,75.67567567567568,91.11969111969111,93.05019305019306
