backbone,dataset,n,LU_beta_per_SD,LU_OR_per_SD,CI_low_OR,CI_high_OR,p
EigenPlaces,amstertime,864,0.5438083901514963,1.722554545972053,1.4696350186345253,2.0190007221016546,1.918299537895392e-11
EigenPlaces,msls,433,0.7554215290113053,2.1285085623878857,1.5907200912626505,2.848111823722786,3.698244845187658e-07
EigenPlaces,nordland,350,0.1490094830008626,1.1606839959242317,0.9021882891098207,1.4932440984396915,0.2463704449220031
CosPlace,amstertime,749,0.6339117978278945,1.8849697967511052,1.5551873278430262,2.2846836976172544,1.0440019426535746e-10
CosPlace,msls,412,0.6857546750127889,1.9852695036277757,1.4355407560750142,2.745512438678907,3.389396888367751e-05
CosPlace,nordland,348,-0.0745748263753407,0.9281380222565812,0.7110329987872459,1.2115333463111415,0.5833234354571544
