dataset,n_queries,language_error_rate_pct,LU_AUROC,AUROC_CI_low,AUROC_CI_high,LU_AUPRC,Spearman_r,Spearman_p
amstertime,1231,76.76685621445979,0.6624190624190623,0.6241619773507207,0.697888112013487,0.850581746300966,0.23761214418872034,2.923113697699885e-17
msls,518,32.239382239382245,0.5657061944487094,0.5155706215823334,0.6181523042535579,0.35318836508852597,0.10638484886585364,0.015422344974933493
nordland,400,59.0,0.3964964861513022,0.34009003595108195,0.4557075475251126,0.5005387515748432,-0.176364852566741,0.0003939891067929903
