dataset,method,n,R1,R5,R10
amstertime,PWF,1231,44.35418359057677,65.63769293257515,70.18683996750609
amstertime,Const_a0.84,1231,44.272948822095856,64.58164094232332,70.18683996750609
amstertime,SG_t1_th0.085,1231,43.29813160032494,63.444354183590576,70.18683996750609
msls,PWF,518,85.32818532818533,91.31274131274131,93.05019305019306
msls,Const_a0.84,518,84.94208494208493,90.54054054054053,93.05019305019306
msls,SG_t1_th0.085,518,84.74903474903475,90.54054054054053,93.05019305019306
nordland,PWF,400,50.5,78.75,87.75
nordland,Const_a0.84,400,53.0,76.0,87.75
nordland,SG_t1_th0.085,400,52.5,76.5,87.75
