backbone,dataset,n_queries,mean_top10_positive_count,mean_top10_positive_fraction,queries_with_2plus_positives_pct,queries_with_5plus_positives_pct,LU_vs_positive_fraction_r,LU_vs_positive_fraction_CI_low,LU_vs_positive_fraction_CI_high,LU_vs_positive_fraction_p,LU_vs_SU_r,LU_vs_SU_CI_low,LU_vs_SU_CI_high,LU_vs_SU_p,positive_fraction_vs_language_error_r,positive_fraction_vs_language_error_CI_low,positive_fraction_vs_language_error_CI_high,positive_fraction_vs_language_error_p
EigenPlaces,amstertime,1231,0.7018683996750609,0.07018683996750609,0.0,0.0,-0.0839910499114534,-0.1378358939212201,-0.028805458901336366,0.00318705353967481,0.11922858029087324,0.06099284034880238,0.1737535669283666,2.7416795477947656e-05,-0.3609937067572149,-0.38758486004173526,-0.3347587359491956,3.425644582787626e-39
EigenPlaces,msls,518,4.685328185328185,0.4685328185328186,87.06563706563706,48.06949806949807,0.21170376673257685,0.12807161490666358,0.29013782803563215,1.1628208793701006e-06,0.21919106398260255,0.1333605529336154,0.3003625380867816,4.703099460241044e-07,-0.4881436753628342,-0.5510929172592247,-0.4200982820464522,2.2740221845025375e-32
EigenPlaces,nordland,400,3.3875,0.33875,76.5,32.5,0.013328094643509342,-0.0860743538410826,0.11563846910245143,0.7904398472117399,0.019059853666809137,-0.08371669105529,0.11515976334363194,0.7039167315096992,-0.45790571440676,-0.5309852272111203,-0.38177330624592803,3.981055227170904e-22
CosPlace,amstertime,1231,0.6084484159220146,0.06084484159220146,0.0,0.0,-0.0821950012160587,-0.1384117161915136,-0.025870316631311546,0.0039040019152874585,0.08403390565626814,0.02676785403950825,0.14083680687096167,0.003171514928122902,-0.44131605021240333,-0.4703204981462013,-0.4123775924161823,7.980840457357077e-60
CosPlace,msls,518,3.972972972972973,0.3972972972972973,79.34362934362935,38.61003861003861,0.2154908589471336,0.13230285014748877,0.2963183980429342,7.386202506242598e-07,0.17106952453158333,0.08400614907649542,0.25538848888176824,9.117497643011113e-05,-0.5142635019405856,-0.5819010502736994,-0.4448838240931596,2.601856082709338e-36
CosPlace,nordland,400,3.8725,0.3872499999999999,78.0,40.25,0.27290030531215925,0.170737040372808,0.36978108125423337,2.9135476017199562e-08,0.0983594220542469,-0.011793186255776167,0.20989661204720647,0.049321581933129695,-0.5303832765071546,-0.5975239420454274,-0.45836251617399976,2.1213583868023618e-30
