backbone,dataset,n_original,n_1_to_9,LU_AUROC_1to9,CI_low,CI_high,language_error_rate_pct
EigenPlaces,amstertime,1231,864,0.6412577102452233,0.5997551007594687,0.6808766010320415,66.55092592592592
EigenPlaces,msls,518,433,0.5977850697292864,0.537398455799688,0.6560318087232557,26.558891454965355
EigenPlaces,nordland,400,350,0.5309167367535744,0.46838685676171915,0.5918570466656384,58.57142857142858
CosPlace,amstertime,1231,749,0.6700675134800405,0.6278321368041808,0.7090285196991463,61.815754339118826
CosPlace,msls,518,412,0.6157700421940928,0.5540247583958413,0.6757506209954093,23.300970873786408
CosPlace,nordland,400,348,0.4251573169098942,0.36493222376102813,0.48437067994686117,55.74712643678161
