Dataset,Metric,Subgroup,n_queries,SU_only_recall,Full_PWF_recall,Difference_pp,CI_low,CI_high,bootstrap_p_two_sided,BH_FDR_q_value,Significant_after_BH_FDR_0.05
AmsterTime,R@1,High-SU / Low-LU,293,26.96245733788396,24.2320819112628,-2.730375426621162,-5.119453924914675,-0.6825938566552892,0.021195760847830435,0.1271745650869826,False
AmsterTime,R@5,High-SU / Low-LU,293,48.122866894197955,48.80546075085324,0.6825938566552892,-0.6825938566552892,2.0477815699658732,0.45510897820435914,0.9102179564087183,False
MSLS held-out,R@1,High-SU / Low-LU,111,75.67567567567568,74.77477477477478,-0.9009009009009028,-2.7027027027027084,0.0,0.740251949610078,1.0,False
MSLS held-out,R@5,High-SU / Low-LU,111,88.28828828828829,88.28828828828829,0.0,0.0,0.0,1.0,1.0,False
Nordland-aligned,R@1,High-SU / Low-LU,102,36.27450980392157,36.27450980392157,0.0,-5.882352941176467,5.882352941176472,1.0,1.0,False
Nordland-aligned,R@5,High-SU / Low-LU,102,79.41176470588235,82.35294117647058,2.941176470588236,-0.9803921568627416,7.843137254901955,0.23995200959808038,0.7198560287942412,False
