dataset,metric,comparison,difference_pp,CI_low,CI_high,p_raw,PWF_only_correct,SU_only_correct,discordant,BH_FDR_q_6,significant_BH_0.05
amstertime,R@1,Full PWF - SU-only,0.32493907392363575,-0.3249390739236413,0.9748172217709183,0.3879224155168966,11,7,18,0.6574685062987402,False
amstertime,R@5,Full PWF - SU-only,0.5686433793663626,0.08123476848090894,1.1372867587327362,0.041191761647670466,9,2,11,0.1235752849430114,False
msls,R@1,Full PWF - SU-only,0.38610038610038533,-0.38610038610038533,1.158301158301156,0.4383123375324935,3,1,4,0.6574685062987402,False
msls,R@5,Full PWF - SU-only,0.0,0.0,0.0,1.0,0,0,0,1.0,False
nordland,R@1,Full PWF - SU-only,-0.5000000000000004,-1.9999999999999907,0.7500000000000062,0.5954809038192361,3,5,8,0.7145770845830833,False
nordland,R@5,Full PWF - SU-only,-1.4999999999999902,-2.749999999999997,-0.5000000000000004,0.005198960207958408,0,6,6,0.03119376124775045,True
